,Mean,Variance,Skewness,Kurtosis,Filter
extinction_g,0.1286748915217058,0.00869033349133485,8.65386983084627,239.272264708031,Raw
extinction_i,0.06614894386568478,0.0022966491166502576,8.65386947527178,239.27224485674049,Raw
extinction_r,0.08901669398797864,0.004159027039335421,8.653869687311209,239.27225106983738,Raw
extinction_u,0.16513861633078417,0.014313508702358233,8.65386986949414,239.27226329215105,Raw
extinction_z,0.049202661448917544,0.0012706502412035562,8.653870860228116,239.2723186611356,Raw
extinction_g,0.11942964376588162,0.0027011918964968545,0.4997458310087962,-0.4185650765133593,P95
extinction_i,0.06139616445507953,0.0007138609816765133,0.49974583219219126,-0.4185650634967226,P95
extinction_r,0.0826208744026285,0.0012927386604484664,0.49974582862107697,-0.4185650751286869,P95
extinction_u,0.15327346218205254,0.004449027597398448,0.4997458336283379,-0.41856507435326407,P95
extinction_z,0.045667466725439504,0.0003949526249273725,0.49974582537840195,-0.4185650937573908,P95
extinction_g,0.1247157089285763,0.004733864477980047,1.3106356102234114,2.483548893896323,P99
extinction_i,0.0641136147788845,0.0012510481542963173,1.3106356065912628,2.4835488885842967,P99
extinction_r,0.08627774979337606,0.0022655367940903086,1.3106356109759105,2.483548905170549,P99
extinction_u,0.16005748565613478,0.007796963148173932,1.3106356082107535,2.483548881826886,P99
extinction_z,0.04768875053475936,0.0006921582326267503,1.310635620505181,2.4835489704924703,P99
extinction_g,-0.06526972047527804,0.5144560764616674,1.1483703869959911,1.815556183443674,ThreeSigma
extinction_i,-0.06526972097571028,0.5144560763840579,1.1483703810644335,1.8155561621081318,ThreeSigma
extinction_r,-0.06526972061740606,0.5144560740805405,1.1483703867926114,1.8155561897901245,ThreeSigma
extinction_u,-0.06526972049010478,0.5144560732849542,1.1483703852156069,1.8155561730095626,ThreeSigma
extinction_z,-0.06526972015774514,0.5144560608316913,1.1483703881854144,1.8155562053451617,ThreeSigma
